"BECKLEY VA HOSPITAL, WV US (USC00460580)",,,,,,,,
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches),,
1/1/2000,,52,23,0.02,0,0,,
1/2/2000,,57,28,0,0,0,,
1/3/2000,,68,30,0,0,0,,
1/4/2000,,68,50,0,0,0,,
1/5/2000,,63,23,0.41,1,1,,
1/6/2000,,27,17,0,,0,,
1/7/2000,,44,21,0,0,0,,
1/8/2000,,42,16,0,0,0,,
1/9/2000,,44,15,0,0,0,,
1/10/2000,,49,31,0.41,0,0,,
1/11/2000,,53,28,0.14,0,0,,
1/12/2000,,48,23,0,0,0,,
1/13/2000,,58,21,0.03,0,0,,
1/14/2000,,53,13,0.05,1,1,,
1/15/2000,,23,9,0,0,1,,
1/16/2000,,45,10,0,0,,,
1/17/2000,,48,14,0,0,,,
1/18/2000,,27,13,0.1,1,1,,
1/19/2000,,29,22,0.03,0.2,2,,
1/20/2000,,32,23,0.15,1.5,3,,
1/21/2000,,28,7,0.1,3,6,,
1/22/2000,,16,0,0,0,5,,
1/23/2000,,25,0,0.04,0.2,4,,
1/24/2000,,34,24,0,0,2,,
1/25/2000,,28,12,0,0,2,,
1/26/2000,,20,11,0.03,1.2,3,,
1/27/2000,,18,6,0.02,1.5,5,,
1/28/2000,,14,-12,0,0,5,,
1/29/2000,,25,-12,0,0,4,,
1/30/2000,,33,1,0.48,1.5,5,,
1/31/2000,,32,18,0.25,2.5,6,,
2/1/2000,,24,18,0.02,1,6,,
2/2/2000,,25,19,0.04,2,7,,
2/3/2000,,30,11,0,0,7,,
2/4/2000,,39,22,0.07,1,6,,
2/5/2000,,29,23,0.08,4,9,,
2/6/2000,,27,14,0,0,7,,
2/7/2000,,39,14,0,0,5,,
2/8/2000,,44,17,0,0,4,,
2/9/2000,,46,17,0,0,3,,
2/10/2000,,50,19,0,0,1,,
2/11/2000,,58,24,0,0,0,,
2/12/2000,,48,30,0.11,0,0,,
2/13/2000,,35,28,0.25,0,0,,
2/14/2000,,51,28,0.72,0,0,,
2/15/2000,,51,26,0.04,0,0,,
2/16/2000,,51,26,0,0,0,,
2/17/2000,,61,30,0,0,0,,
2/18/2000,,46,29,0.3,0,0,,
2/19/2000,,61,35,0.94,,,,
2/20/2000,,46,27,0.02,0,,,
2/21/2000,,30,23,0,0,,,
2/22/2000,,46,22,0,0,,,
2/23/2000,,47,29,0,0,,,
2/24/2000,,62,35,0,0,,,
